kpid,"sti","acc","acc_txt",acc_int
376,"Duty of Parents to Educate their Children, The","649","a00649",649
377,"Duty of parents to their children, On the","1839","a01839",1839
378,"Duty of Praise, On the","1746","a01746",1746
379,"Duty of Submission to God, The","1767","a01767",1767
380,"Duty of Xtians under afflictions ","1946","a01946",1946
381,"Duty to God, On","44","a00044",44
382,"Duty towards children, On","192","a00192",192
383,"Dying unto sin, and living unto righteousness","1837","a01837",1837
384,"Ear & the eye -- proofs of the existence of a God, The","2091","a02091",2091
385,"Early piety, On","1792","a01792",1792
386,"Earth a Place of Troubles, The","644","a00644",644
387,"Earthly happiness, On","1808","a01808",1808
388,"Ease, Of","872","a00872",872
389,"Easiness of Christ's yoke, The","934rr","a00934rr",934
390,"Easter Duty","144","a00144",144
391,"Easter duty, On","234","a00234",234
392,"Easter duty, On","235","a00235",235
393,"Easter duty, On","313","a00313",313
394,"Easter duty, On","396","a00396",396
395,"Easter duty, On","429","a00429",429
396,"Easter Sermon","871","a00871",871
397,"Easter Sunday, On","328","a00328",328
398,"Easter, For","1799","a01799",1799
399,"Easter, For","1817","a01817",1817
400,"Easter, For","1889","a01889",1889
401,"Easter, For ","1939","a01939",1939
402,"Easter, For ","1986","a01986",1986
403,"Easter, For ","2027","a02027",2027
404,"Easter, For","2106","a02106",2106
405,"Easter, For","2139","a02139",2139
406,"Easter, On","375","a00375",375
407,"Easter, On","3042","a03042",3042
408,"Education, On","839","a00839",839
409,"Education, On","2099","a02099",2099
410,"Education, On","2105","a02105",2105
411,"Education, On","3096","a03096",3096
412,"Effects of Sin, Ye","235g","a00235g",235
413,"Eight Beatitudes, On ye","384","a00384",384
414,"Eighth Article of the Creed, On the","282","a00282",282
415,"Eighth Commandment, On the ","2005","a02005",2005
416,"Eleventh and twelfth articles of the Creed, On the","279","a00279",279
417,"Encouragement to persevere in well-doing ","1997","a01997",1997
418,"End and the Means, The","659","a00659",659
419,"End of Christ's giving himself for us ","2003","a02003",2003
420,"End of the perfect & upright man, The ","2020","a02020",2020
421,"Envy, On","1776","a01776",1776
422,"Ephiphany","459","a00459",459
423,"Epiphany, For the","1868","a01868",1868
424,"Epiphany, For the ","2016","a02016",2016
425,"Epiphany, For the","2100","a02100",2100
426,"Epiphany, For the","2131","a02131",2131
427,"Epiphany, For the","2161","a02161",2161
428,"Epiphany, On the","93","a00093",93
429,"Epiphany, On the","259","a00259",259
430,"Epiphany, On ye","290","a00290",290
431,"Episcopal Charitable Institution, For the","2180","a02180",2180
432,"Establishment of the Xn Church, On the","100","a00100",100
433,"Eternal life","2096","a02096",2096
434,"Eternity","275","a00275",275
435,"Eternity of God, On the","1759","a01759",1759
436,"Eternity, On","208","a00208",208
437,"Eternity, On","213","a00213",213
438,"Eternity, On","372","a00372",372
439,"Eucharist as Thanksgiving(1), On the","3079","a03079",3079
440,"Eucharist as Thanksgiving(2), On the","3080","a03080",3080
441,"Eucharist, On the","3081","a03081",3081
442,"Eucharist: Frequentation","158","a00158",158
443,"Eucharist: The Great Supper","162","a00162",162
444,"Eucharist: The Old Law and the New","127","a00127",127
445,"Evening Prayer, On","666","a00666",666
446,"Everlasting Life, On","3004","a03004",3004
447,"Every man shall receive his own reward, according to his own labour","1690","a01690",1690
448,"Every one that loveth is born of God","936","a00936",936
449,"Evil of Punishment, On the","3078","a03078",3078
450,"Evil, On","41","a00041",41
451,"Example of Nehemiah, The","2146","a02146",2146
452,"Examples to Christians","934tt","a00934tt",934
453,"Excellence of the Holy Scriptures, On the","1756","a01756",1756
454,"Excellency of the knowledge of Christ Jesus, The","2185","a02185",2185
455,"Except a man be born again He cannot see the Kingdom of God","979","a00979",979
456,"Except ye repent, ye shall all in like manner perish","925","a00925",925
457,"Excommunication of John Causse, On the","112","a00112",112
458,"Exhortation to fraternal Charity, An","238","a00238",238
459,"Exodus 33: 18-19, On","3135","a03135",3135
460,"Experience -- hope","2087","a02087",2087
461,"Ezek 33, 33 Sermon 2d","1637","a01637",1637
462,"Faith","131","a00131",131
463,"Faith","274","a00274",274
464,"Faith","277","a00277",277
465,"Faith & Good Works, Upon","302","a00302",302
466,"Faith & means necessary to a successful seeking of God ","1950","a01950",1950
467,"Faith and Patience, On","3008","a03008",3008
468,"Faith in God, On","3118","a03118",3118
469,"Faith the Gift of God. 1786","1707","a01707",1707
470,"Faith, Hope, and Charity","794","a00794",794
471,"Faith, On","210","a00210",210
472,"Faith, On","248","a00248",248
473,"Faith, On","341","a00341",341
474,"Faith, On","1737","a01737",1737
475,"Faithful discharge of duty, On a","2157","a02157",2157
476,"Faithful discharge of Duty, On a","2159","a02159",2159
477,"Fallacy of certain specious doctrines detected, The","1823","a01823",1823
478,"False Prophets","129","a00129",129
479,"False Prophets","142","a00142",142
480,"False prophets, On","56","a00056",56
481,"Farewell Sermon","923","a00923",923
482,"Fast (May 9, 1798), For the","2142","a02142",2142
483,"fast appointed by public authority, for a","681","a00681",681
484,"Fast on account of the Philadelphia Epidemic ","1962","a01962",1962
485,"Fast Sermon Preached in 1756 on I Kings 21:29, A","468","a00468",468
486,"Fast Sermon, A","934ff","a00934ff",934
487,"Fasting, On","85","a00085",85
488,"Fasting, On","201","a00201",201
489,"Fasting, On","320","a00320",320
490,"Fasting, On","350","a00350",350
